id,px,py,pz,rx,ry,rz
0,0.124667,0.470611,0.455162,-0.390449,0.868685,0.237053,0.19168
0,0.253664,0.533141,0.433419,-0.358492,0.906674,0.222308,0.002321
1,0.252098,0.505778,0.425299,-0.352733,0.899846,0.256046,0.017256
2,0.250601,0.478943,0.417039,-0.346349,0.891602,0.289872,0.032589
3,0.249076,0.452811,0.408601,-0.339493,0.88204,0.323213,0.047782
4,0.247512,0.427312,0.40022,-0.3322,0.871287,0.355778,0.062636
5,0.225839,0.533452,0.433516,-0.366855,0.906129,0.207347,0.036819
6,0.224951,0.505993,0.425349,-0.362365,0.898663,0.241694,0.051766
7,0.224078,0.479145,0.416899,-0.357214,0.889801,0.276023,0.066811
8,0.223188,0.452997,0.40832,-0.351584,0.879567,0.309962,0.081692
9,0.222264,0.427491,0.399801,-0.345546,0.86813,0.343024,0.096348
10,0.198026,0.533674,0.433395,-0.374621,0.904134,0.192437,0.0719
11,0.197779,0.506194,0.425227,-0.371512,0.896061,0.227046,0.086627
12,0.197575,0.479338,0.416676,-0.36767,0.886632,0.261612,0.101294
13,0.1973,0.453194,0.408024,-0.363439,0.875768,0.295847,0.115832
14,0.197064,0.427699,0.399466,-0.35862,0.863746,0.329251,0.130107
15,0.170246,0.533857,0.432982,-0.381785,0.900681,0.177643,0.107042
16,0.170653,0.50639,0.424804,-0.380041,0.892073,0.212193,0.121443
17,0.171103,0.47954,0.416324,-0.377605,0.882094,0.246807,0.135689
18,0.171464,0.453387,0.407766,-0.374716,0.870705,0.281121,0.149772
19,0.171926,0.427894,0.399212,-0.37119,0.858229,0.314518,0.163522
20,0.142559,0.53403,0.432297,-0.388417,0.895747,0.163218,0.141878
21,0.143581,0.506577,0.424236,-0.387892,0.886735,0.197476,0.155703
22,0.144603,0.479759,0.415865,-0.386906,0.876268,0.231818,0.169464
23,0.145721,0.453575,0.40747,-0.385237,0.864521,0.265902,0.18301
24,0.146812,0.428074,0.399076,-0.383014,0.851664,0.299189,0.1961
25,0.253369,0.532932,0.447667,-0.358786,0.906129,0.223959,0.006679
26,0.25194,0.505626,0.439982,-0.35335,0.899448,0.256305,0.021066
27,0.250545,0.478951,0.432018,-0.347341,0.891497,0.288649,0.035608
28,0.2491,0.452822,0.423924,-0.340879,0.88233,0.32061,0.05004
29,0.247693,0.427327,0.415906,-0.334038,0.872081,0.351783,0.064349
30,0.225748,0.533188,0.447777,-0.36683,0.905464,0.209751,0.039693
31,0.224912,0.505854,0.439976,-0.362529,0.898234,0.242554,0.053994
32,0.224076,0.479142,0.431883,-0.357711,0.889691,0.275366,0.068312
33,0.223214,0.453026,0.423709,-0.352398,0.879901,0.30785,0.08257
34,0.222369,0.427495,0.415568,-0.346686,0.869021,0.339545,0.096549
35,0.198061,0.533427,0.447735,-0.374387,0.903448,0.195586,0.073223
36,0.197835,0.506088,0.439816,-0.371377,0.895672,0.228571,0.087217
37,0.197615,0.47933,0.431704,-0.36771,0.886594,0.261684,0.101301
38,0.197376,0.453212,0.423461,-0.363631,0.876261,0.294363,0.115277
39,0.197154,0.427699,0.415261,-0.359077,0.86486,0.326293,0.12889
40,0.170494,0.533597,0.447311,-0.381327,0.90016,0.181382,0.106781
41,0.170867,0.506263,0.439461,-0.379557,0.891868,0.214425,0.120536
42,0.171242,0.479525,0.431363,-0.377181,0.882304,0.247501,0.134225
43,0.171558,0.453401,0.423191,-0.374333,0.871495,0.280291,0.147678
44,0.171958,0.42789,0.415005,-0.370974,0.859646,0.312263,0.160869
45,0.142945,0.533755,0.446637,-0.387786,0.89552,0.167534,0.139991
46,0.1439,0.506452,0.438933,-0.38718,0.886828,0.200341,0.15327
47,0.144823,0.479731,0.430925,-0.386038,0.87686,0.233199,0.166459
48,0.145819,0.453584,0.422884,-0.384395,0.865677,0.265773,0.179465
49,0.146761,0.428072,0.414814,-0.382263,0.853482,0.297603,0.192033
